Image                | Raw      | Norm     | Thresh   | Decision
------------------------------------------------------------
000.png              | 0.7562   | 0.7236   | 0.3      | REJECT
001.png              | 0.7630   | 0.7301   | 0.3      | REJECT
002.png              | 0.6862   | 0.6565   | 0.3      | REJECT
003.png              | 0.7187   | 0.6876   | 0.3      | REJECT
004.png              | 0.7571   | 0.7244   | 0.3      | REJECT
005.png              | 0.7512   | 0.7187   | 0.3      | REJECT
006.png              | 0.8267   | 0.7910   | 0.3      | REJECT
007.png              | 0.6780   | 0.6487   | 0.3      | REJECT
008.png              | 0.6684   | 0.6395   | 0.3      | REJECT
009.png              | 0.8123   | 0.7772   | 0.3      | REJECT
010.png              | 0.6383   | 0.6107   | 0.3      | REJECT
011.png              | 0.7894   | 0.7552   | 0.3      | REJECT
012.png              | 0.7271   | 0.6957   | 0.3      | REJECT
013.png              | 0.7787   | 0.7450   | 0.3      | REJECT
014.png              | 0.8014   | 0.7667   | 0.3      | REJECT
015.png              | 0.7065   | 0.6760   | 0.3      | REJECT
016.png              | 0.6748   | 0.6456   | 0.3      | REJECT
017.png              | 0.6872   | 0.6575   | 0.3      | REJECT
018.png              | 0.7525   | 0.7200   | 0.3      | REJECT
019.png              | 0.7117   | 0.6810   | 0.3      | REJECT
020.png              | 0.7995   | 0.7649   | 0.3      | REJECT
021.png              | 0.7517   | 0.7192   | 0.3      | REJECT
022.png              | 0.7699   | 0.7367   | 0.3      | REJECT
023.png              | 0.7589   | 0.7261   | 0.3      | REJECT
024.png              | 0.7888   | 0.7548   | 0.3      | REJECT
000.png              | 0.6178   | 0.5911   | 0.3      | REJECT
001.png              | 0.6362   | 0.6087   | 0.3      | REJECT
002.png              | 0.6678   | 0.6389   | 0.3      | REJECT
003.png              | 0.7230   | 0.6918   | 0.3      | REJECT
004.png              | 0.6624   | 0.6338   | 0.3      | REJECT
005.png              | 0.7696   | 0.7364   | 0.3      | REJECT
006.png              | 0.7873   | 0.7532   | 0.3      | REJECT
007.png              | 0.6709   | 0.6419   | 0.3      | REJECT
008.png              | 0.8026   | 0.7679   | 0.3      | REJECT
009.png              | 0.7309   | 0.6994   | 0.3      | REJECT
010.png              | 0.6464   | 0.6185   | 0.3      | REJECT
011.png              | 0.6374   | 0.6098   | 0.3      | REJECT
012.png              | 0.6653   | 0.6366   | 0.3      | REJECT
013.png              | 0.7505   | 0.7181   | 0.3      | REJECT
014.png              | 0.7033   | 0.6729   | 0.3      | REJECT
015.png              | 0.7729   | 0.7395   | 0.3      | REJECT
016.png              | 0.8034   | 0.7686   | 0.3      | REJECT
017.png              | 0.6775   | 0.6482   | 0.3      | REJECT
018.png              | 0.7839   | 0.7500   | 0.3      | REJECT
019.png              | 0.7614   | 0.7285   | 0.3      | REJECT
020.png              | 0.7092   | 0.6786   | 0.3      | REJECT
021.png              | 0.6684   | 0.6395   | 0.3      | REJECT
022.png              | 0.6641   | 0.6354   | 0.3      | REJECT
023.png              | 0.7686   | 0.7353   | 0.3      | REJECT
024.png              | 0.6675   | 0.6387   | 0.3      | REJECT
025.png              | 0.7521   | 0.7196   | 0.3      | REJECT
026.png              | 0.8226   | 0.7871   | 0.3      | REJECT
000.png              | 0.7229   | 0.6917   | 0.3      | REJECT
001.png              | 0.8144   | 0.7792   | 0.3      | REJECT
002.png              | 0.8102   | 0.7752   | 0.3      | REJECT
003.png              | 0.7934   | 0.7591   | 0.3      | REJECT
004.png              | 0.7310   | 0.6994   | 0.3      | REJECT
005.png              | 0.8210   | 0.7855   | 0.3      | REJECT
006.png              | 0.6654   | 0.6367   | 0.3      | REJECT
007.png              | 0.6654   | 0.6367   | 0.3      | REJECT
008.png              | 0.7027   | 0.6723   | 0.3      | REJECT
009.png              | 0.8133   | 0.7781   | 0.3      | REJECT
010.png              | 0.8001   | 0.7656   | 0.3      | REJECT
011.png              | 0.7081   | 0.6775   | 0.3      | REJECT
012.png              | 0.9209   | 0.8811   | 0.3      | REJECT
013.png              | 0.7593   | 0.7265   | 0.3      | REJECT
014.png              | 0.7243   | 0.6930   | 0.3      | REJECT
015.png              | 0.7428   | 0.7107   | 0.3      | REJECT
016.png              | 0.7293   | 0.6978   | 0.3      | REJECT
017.png              | 0.7759   | 0.7424   | 0.3      | REJECT
018.png              | 0.6450   | 0.6172   | 0.3      | REJECT
019.png              | 0.7071   | 0.6766   | 0.3      | REJECT
020.png              | 0.7173   | 0.6863   | 0.3      | REJECT
021.png              | 1.0769   | 1.0303   | 0.3      | REJECT
022.png              | 0.6651   | 0.6364   | 0.3      | REJECT
